Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,ssx_601211.SS_2021-09-15_2023-09-15_Close_percent,ssx_601318.SS_2021-09-15_2023-09-15_Close_percent,ssx_601628.SS_2021-09-15_2023-09-15_Close_percent,ssx_600000.SS_2021-09-15_2023-09-15_Close_percent,ssx_002352.SZ_2021-09-15_2023-09-15_Close_percent,ssx_601601.SS_2021-09-15_2023-09-15_Close_percent,ssx_601319.SS_2021-09-15_2023-09-15_Close_percent,ssx_601919.SS_2021-09-15_2023-09-15_Close_percent,ssx_600030.SS_2021-09-15_2023-09-15_Close_percent,ssx_000001.SZ_2021-09-15_2023-09-15_Close_percent
2021-09-15,137700.0,143756.0,135801.0,142551.0,127031.6484375,242403,168966.01319924576,242403,0.6970458830923947,0.0,0.0,0.0,4707.458244644519,140702.66666666666,50.0,1000.0,142551.0,142551.0,142551.0,0.0,0.0,0.0,0.0,140702.66666666666,148657.66666666666,132747.66666666666,11.30753266936424,0.6161743138487331,0.0,0.0,135801.0,143756.0,139778.5,5.580458923473003,0.8485229415461973,0.0,0.0,0.0,0.0,0.0,142551.0,142551.0,142551.0,142551.0,0.0,0.0,0.0,-0.2818894356419694,1.0,-2695.5499999999884,19.273828799664138,19.273828799664138,0.0,139778.5,139778.5,139778.5,139778.5,0.0,0.0,0.0,0.0,0.0,141659.0925,146048.2105,4.0,4.0,0.0,125633.0,143756.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,84.85229415461974,84.85229415461974,-15.147705845380264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142551.0,1.9273828799664103,0.0,0.0,0.0,119719.0390625,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-16,139000.0,140744.0,132920.0,134345.0,119719.0390625,581893,-200964.4292854168,-339490,-0.2438012913873375,-4775013958.0,-3961796412.742549,-3961796412.742549,-28824.84760057903,137385.04394901832,0.0,1000.0,138448.0,146654.0,130242.0,11.854270195307985,0.25,0.0,0.0,138352.8333333333,146242.3333333333,130463.33333333331,11.40489834565488,0.2460020702621633,0.0,0.0,132920.0,143756.0,138338.0,7.826765283716631,0.1315060908084163,0.0,0.0,-654.6096866096777,-130.92193732193556,-523.6877492877422,138448.0,138448.0,141288.53846153847,141943.14814814815,0.2810758557943819,0.6161719549641761,-0.3350960991697942,-0.0112432348773421,1.997363442418388,1407.4500000000116,-10.06360495783333,4.6051119209154034,-14.668716878748734,138338.0,138338.0,138338.0,138338.0,0.0,0.0,0.0,0.0,-66.66666666666626,141659.0925,146048.2105,4.0,8.0,-4.0,125633.0,143756.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,8.10303650631184,13.150609080841638,49.00145161773069,-86.84939091915837,0.0,0.0,-0.4611773764003403,-0.092235475280068,-0.3689419011202722,10.12213871182225,2.02442774236445,8.0977109694578,139726.90855135873,-5.756536257199175,-5.928871227381727,-5.756536257199175,5.756525609913524,118831.46875,3,1.1982649714469318,-0.0808567381525904,-0.09733724617206,0.761694781764561,0.6982085021886348,0.6814833759020331,0.3853577529628609,5.542723018994352,2.8963419285350085,2.2541086365454674
2021-09-17,133850.0,138010.0,133349.0,133349.0,118831.46875,554746,-755710.4292854168,-894236,-0.547996673984851,-4171801537.714286,-968335508.5029906,-2465065960.62277,-37609.62867409586,136386.46024534907,0.0,992.5862518143584,136748.33333333334,144994.74011986097,128501.92654680571,12.060705363664583,0.293890028631202,0.0,0.0,137202.77777777778,144016.1111111111,130389.44444444444,9.931771708541689,0.2171885192433144,0.0,0.0,132920.0,143756.0,138338.0,7.924045387512339,0.0395902547065337,0.0,0.0,-1239.4735757015003,-352.6322649978485,-886.841310703652,136748.33333333334,136748.33333333334,140067.07100591715,141306.54458161863,0.4509821548972895,0.8194812783746123,-0.3684991234773227,-0.0308816068249478,2.928313417696242,3107.1166666666686,-22.21662914578358,-4.335468434650924,-17.881160711132654,138338.0,138338.0,138338.0,138338.0,0.0,0.0,0.0,0.0,-65.7195466522753,141659.0925,146048.2105,4.0,12.0,-8.0,125633.0,143756.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,6.405358025801232,3.9590254706533776,33.98730956870492,-96.04097452934664,0.0,0.0,-0.877152278665749,-0.2492188359572042,-0.6279334427085447,15.866255618358403,4.792793317563241,11.073462300795164,137561.24288168584,-0.7413748185641444,-0.7441366605396738,-6.455233565530937,0.7413777453030121,116770.28125,4,-2.535832679376142,1.6764324819191927,0.0972425929100069,0.1096437851641667,0.6250055605476916,1.8779352563114031,0.7736872045125125,-1.1247004635723243,-1.844588426968216,2.8825895632038936
2021-09-22,133000.0,137870.0,133301.0,137582.0,122603.625,233805,-377186.5086537965,-638338,-0.1738338880610728,-2469007555.8142447,7009688843.266825,-1268991415.358885,12468.360439172697,135101.58129267846,27.09572376673876,1007.5477572947603,135341.83333333334,142875.52170992258,127808.14495674412,11.132830391080216,0.6486766212435808,0.0,0.0,135109.27777777778,141556.94444444444,128661.61111111112,9.54437292940241,0.6917532613003847,0.0,0.0,126912.0,143756.0,135334.0,12.445523741735432,0.6334599857516029,0.0,0.0,-2027.100061016652,-1171.9044359907596,-855.1956250258925,135341.83333333334,135341.83333333334,137794.4777008993,139821.57776191595,0.6982235435760092,0.8997026953979214,-0.2014791518219121,-0.109002954350178,5.694460135047492,4513.616666666669,-32.27344137583968,-18.864100199328902,-13.40934117651078,135334.0,135334.0,135334.0,135334.0,0.0,0.0,0.0,0.0,29.93176472301712,141659.0925,146048.2105,4.0,16.0,-12.0,125633.0,142243.608576,0.0,0.0,41.82065764739893,0.0,0.0,0.0,-97.64250186344738,36.36207277820094,63.34599857516029,41.69635082719861,-36.654001424839706,-957.1000000000058,0.0,-1.4497762744948697,-0.835416966851608,-0.6143593076432614,7.909658038019632,7.444037776049551,0.4656202619700806,135738.74770653332,3.2990960146559667,3.2458439031021413,-3.485770005120969,-3.2990976933152467,121749.921875,2,1.3978486347405408,1.8488137008711192,3.731338156296815,0.8781592698958605,-5.534604449968853,1.7298476747187834,0.779729676061379,-2.030944492654484,1.0019317758029302,2.9681705937382645
2021-09-23,137837.0,138521.0,134458.0,136624.0,121749.921875,280587,-358609.61891714873,-918925,-0.1463475587495204,-2154692525.840781,1309024295.494802,-839322130.2166039,5759.690436354101,135265.64107435106,36.48858125260421,1007.5477572947603,135525.0,142557.3250371816,128492.67496281838,10.377900811188514,0.5781391640879315,0.0,0.0,135312.85714285713,141419.85714285713,129205.85714285714,9.026488877627498,0.6073475402933407,0.0,0.0,126912.0,143756.0,135334.0,12.42870319129312,0.5765851341724056,0.0,0.0,-1970.315941468929,-1331.5867370863934,-638.7292043825355,135525.0,135525.0,137614.40420845326,139584.72014992218,0.7514632947589474,0.8942629909298065,-0.1427996961708592,-0.1266710981429714,6.5525343386534525,4330.450000000012,-30.96375579214118,-20.59262242687351,-10.371133365267667,135334.0,135334.0,135334.0,135334.0,0.0,0.0,0.0,0.0,34.59052616775856,141659.0925,146048.2105,4.0,16.0,-12.0,125633.0,141630.34423296,0.0,0.0,39.17636789736194,0.0,0.0,0.0,-96.1884773918867,37.90045127563558,57.65851341724056,52.75469009736404,-42.34148658275944,-1239.385714285716,0.0,-1.4115556053360954,-0.9506446945485056,-0.4609109107875897,6.617463008780349,7.278722822595712,-0.6612598138153629,135995.64459545008,-0.6963120175604409,-0.698747582361392,-4.157810187231236,0.6963114875273817,118585.515625,3,-2.508179078460884,-0.9209012155496624,-1.1122300348265526,0.0,1.8772427761714283,-1.4981239390316858,-0.589387950175734,1.090040240728186,-1.9852110545524653,1.668518818306964
2021-09-27,138735.0,139000.0,132500.0,133073.0,118585.515625,296150,-602546.0958402257,-1215075,-0.2193831366585845,-1997111972.149241,-1623079520.5132537,-951287471.6875538,-9651.007824110828,135221.65070359255,32.16795990285857,1007.5477572947603,135218.5,141993.62206532105,128443.37793467897,10.02099870257553,0.3416633693596535,0.0,0.0,135255.9583333333,141412.08333333334,129099.83333333331,9.102926149587384,0.322700291714891,0.0,0.0,126912.0,143756.0,135334.0,12.456875353594368,0.3657682260745666,0.0,0.0,-2186.6438712652307,-1502.598163922161,-684.0457073430698,135218.5,135218.5,136915.726637922,139102.37050918725,0.7447817096484726,0.8983262455620148,-0.1535445359135422,-0.1453657529034495,7.444892550710399,4636.950000000012,-33.155304280240856,-22.162957658544432,-10.992346621696424,135334.0,135334.0,135334.0,135334.0,0.0,0.0,0.0,0.0,-12.543878642337072,141659.0925,146048.2105,4.0,16.0,-12.0,125633.0,141041.61046364158,0.0,0.0,31.281053898099017,0.0,0.0,0.0,-94.9930493282034,37.803585809356775,36.57682260745666,52.52711153328584,-63.42317739254334,-1293.1875,0.0,-1.5719673670987588,-1.0749092290585565,-0.4970581380402024,5.943276347816616,7.011633527639893,-1.0683571798232778,135269.9629651682,-2.599104110551586,-2.633477733828471,-6.648848482297565,2.599103310512902,115838.1484375,0,1.6189978719937983,-1.9134603455977413,-2.9024667307135417,0.0,-1.5744711493390326,-1.992612791380324,-0.3944786385463885,10.00466344114649,1.4976956842803446,-1.2680116992191586
2021-09-28,132000.0,134341.0,127110.0,129990.0,115838.1484375,297017,-662968.1684442916,-1512092,-0.2178262617261511,-1842625034.8422067,-12232350168.508871,-2361420308.790219,-14578.45797066356,134758.9524125882,28.852719886391924,1007.5477572947603,134637.55555555556,141821.00264582952,127454.1084652816,10.670792500105732,0.1765093765465238,0.0,0.0,134725.33333333334,141000.88888888888,128449.77777777778,9.316073525724754,0.1227160056657222,0.0,0.0,126912.0,143756.0,135334.0,12.510625234167785,0.1827356922346236,0.0,0.0,-2577.149869011453,-1717.5085049400195,-859.6413640714336,134637.55555555556,134637.55555555556,135850.23023208784,138427.3801010993,0.6841844323252355,0.9905458772844614,-0.3063614449592259,-0.167950434366946,8.38182620199659,5217.89444444445,-37.30919634840441,-23.845873068528874,-13.46332327987554,135334.0,135334.0,135334.0,135334.0,0.0,0.0,0.0,0.0,-116.84200868554666,141659.0925,146048.2105,4.0,36.0,-32.0,125633.0,140476.42604509593,0.0,0.0,26.3213001843247,0.0,0.0,0.0,-94.01550219428782,41.4912926516463,18.27356922346236,37.50296841605319,-81.72643077653764,-659.4222222222306,0.0,-1.86173419386342,-1.2322742220195293,-0.6294599718438907,5.371172877155186,6.683541397542952,-1.312368520387766,134152.53557093674,-2.316773500259261,-2.344032540703722,-8.811583222846565,2.3167814155212056,112952.6640625,1,-1.6456407608933148,-0.5306143139394379,1.0823177301443965,-0.1108593400830955,3.4188058005856874,-0.8321399839340415,0.1964692879830352,5.946215104067164,-0.8187127566539232,-2.276597864833164
2021-09-29,129990.0,130809.0,125724.0,126752.0,112952.6640625,195260,-779279.3857500929,-1707352,-0.2406056598784289,-1669714584.1504629,-6403777015.261703,-2810571053.953717,-11745.061289583677,134337.10484854996,27.05769783360026,982.4501371845948,133849.0,142145.21817456605,125552.78182543397,12.396384245778515,0.0722749902023136,0.0,0.0,134028.96666666665,140185.46666666667,127872.46666666667,9.18682006302618,-0.0909986734887252,0.0,1.0,125724.0,143756.0,134740.0,13.4718974366637,0.0570097604259094,6357.8,0.0,-3112.0346265731496,-1996.4137292666453,-1115.620897306504,133849.0,133849.0,134450.5025040743,137562.53713064748,0.6876435244896033,1.0468558306332378,-0.3592123061436345,-0.1963795181500865,9.298929877866977,6006.450000000012,-42.947557638976605,-30.75936045060007,-12.188197188376536,133234.0,134740.0,133987.0,134740.0,0.0,0.0,0.0,0.0,-138.5571468365729,141659.0925,146048.2105,4.0,40.0,-36.0,125633.0,139933.8490032921,0.0,0.0,22.31875141074346,0.0,0.0,0.0,-93.2260894871168,42.13684759459301,5.700976042590949,20.18378929116999,-94.29902395740903,-755.5500000000175,0.0,-2.262268995240726,-1.4382731766637686,-0.8239958185769574,2.078947319241103,5.762622581882583,-3.6836752626414793,132919.35108477148,-2.490960843141776,-2.5225102980421354,-11.083050978246378,2.490962100069183,116240.0546875,2,2.104693874466108,0.1421132424381426,-0.9946927149960914,0.1107365782432339,0.584971613555652,-0.4305672876848945,0.590548196011639,9.070922010454652,0.9667417194861656,-1.0016817589493598
2021-09-30,126974.0,131541.0,125633.0,130441.0,116240.0546875,307580,-586234.9307737896,-1399772,-0.1653040462321239,-1269089269.2718253,615616750.1137915,-2467952273.546966,4087.981939226424,133891.99684356322,33.63497096773901,982.4501371845948,133539.18181818182,141688.39692007104,125389.9667162926,12.204979828294372,0.3099091888331934,0.0,0.0,132879.2,138831.0,126927.4,8.958211668944429,0.2951712087099704,0.0,0.0,125633.0,143756.0,134694.5,13.57129776687945,0.2652982398057716,6312.820000000001,0.0,-3201.3598967246944,-2237.4029627582554,-963.956933966439,133539.18181818182,133539.18181818182,133833.65596498596,137035.01586171065,0.7128918055435627,1.0323374492703563,-0.3194456437267938,-0.222120061980237,10.225867897946348,6316.268181818188,-49.20539634088564,-35.10844838205033,-14.096947958835308,132316.5,134694.5,133505.5,134694.5,0.0,0.0,0.0,0.0,-90.80174769132452,141659.0925,146048.2105,4.0,40.0,-36.0,125633.0,139081.25806309457,0.0,0.0,34.533034939564914,0.0,0.0,0.0,-91.38357341235702,45.189956822068446,26.529823980577167,16.834789748876823,-73.47017601942284,-1652.3454545454297,0.0,-2.336161948530993,-1.6178509310372136,-0.718311017493779,2.572849708376073,5.124668007181281,-2.551818298805208,132713.30717028814,2.910407725321895,2.8688595812237594,-8.495205224796742,-2.91041442208126,116171.4375,3,1.708924253856864,1.6873213917822767,2.1667803529118004,0.2217420066975108,1.4031376025414062,3.036809579708816,-0.1980054140882288,-4.474000771277787,1.2885613935376767,1.2121213449901376
2021-10-08,141297.0,151745.0,138737.0,150450.0,134070.6875,349912,178676.92832951216,-779244,0.0371781352538161,261323923.3555212,29329264500.78877,2470926333.7685165,41444.686574332,134170.65284592277,60.790602689387214,982.3487936575902,134683.11764705885,145741.0091784995,123625.22611561816,16.420605231931447,1.21292444441653,1.0,0.0,133395.0,140016.8,126773.2,9.928108249934398,1.7877918390769896,1.0,0.0,125633.0,151745.0,138689.0,19.387730590278792,0.950405943627451,6940.05316662,6.698258491819098,-409.617652260582,-2045.670489598073,1636.0528373374912,134595.33333333334,134683.11764705885,136829.52888978753,137239.1465420481,1.0419084104699057,0.8281146197794411,0.2137937906904645,-0.2294580718300306,16.050922570186458,2898.8823529411748,-38.24055756063479,-46.312272183821634,8.071714623186843,138689.0,138689.0,138689.0,138689.0,0.0,0.0,27.381090619521053,19.797503213141745,230.73486354840296,141659.0925,146048.2105,68.0,40.0,28.0,125946.62,135289.0,0.0,0.0,69.26149659593403,1.0,0.9753393499414216,0.0,-71.68541515129047,74.56302389790595,95.0405943627451,78.59440619292461,-4.959405637254902,1798.7999999999884,12.960627083521036,-0.2984699792890952,-1.495442976905588,1.196972997616493,-2.3799424075753253,-2.665378847266417,0.2854364396910922,134312.6779099023,6.477844540223776,6.276674503346769,5.541174737462384,-6.4778376441194325,135191.734375,4,-4.879422476269028,-7.733661656506271,-5.033559297744063,-0.8888924216205112,-6.396322418978329,-7.95874288183505,-2.9644422774442205,2.7777892612903514,-1.859181684524799,-3.959829145374016
