Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_LYC.AX_2021-09-15_2023-09-15_Close_percent,asx_PLS.AX_2021-09-15_2023-09-15_Close_percent,ssx_600000.SS_2021-09-15_2023-09-15_Close_percent,ssx_601328.SS_2021-09-15_2023-09-15_Close_percent,ssx_300999.SZ_2021-09-15_2023-09-15_Close_percent,asx_AKE.AX_2021-09-15_2023-09-15_Close_percent,asx_YAL.AX_2021-09-15_2023-09-15_Close_percent,jpx_9984.T_2021-09-15_2023-09-15_Close_percent,ssx_601919.SS_2021-09-15_2023-09-15_Close_percent,jpx_6098.T_2021-09-15_2023-09-15_Close_percent
2021-09-15,5989.0,6004.0,5894.0,5955.0,5474.7412109375,4930397,537861.4909090908,4930397,0.109090909090909,0.0,0.0,0.0,-192983.2132277212,5951.0,50.0,1000.0,5955.0,5955.0,5955.0,0.0,0.0,0.0,0.0,5951.0,6061.0,5841.0,3.696857670979667,0.5181818181818182,0.0,0.0,5894.0,6004.0,5949.0,1.8471872376154488,0.5545454545454546,0.0,0.0,0.0,0.0,0.0,5955.0,5955.0,5955.0,5955.0,0.0,0.0,0.0,-3.007908667633887,1.0,249.0039999999999,-40.13601538619251,-40.13601538619251,0.0,5949.0,5949.0,5949.0,5949.0,0.0,0.0,0.0,0.0,0.0,6178.08925,6141.6065,4.0,4.0,0.0,5894.0,6180.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,55.45454545454545,55.45454545454545,-44.54545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5955.0,-4.013601538619249,0.0,0.0,0.0,5470.14453125,2,-0.012716182525624743,-0.1771564586608763,0.023273769468093203,-0.0786032138883417,0.14959822488628127,-0.07597638864810889,-0.23118182573579737,-0.061628576091673576,0.07610068455278457,0.0269390911577781
2021-09-16,5899.0,6009.0,5900.0,5950.0,5470.14453125,8164928,-136306.8760633862,-3234531,-0.0104088196408555,-40824640.0,7342.379504142596,7342.379504142596,-204742.01294187788,5952.246998909916,100.0,1000.0,5952.5,5957.5,5947.5,0.1679966400671986,0.25,0.0,0.0,5952.0,6061.5,5842.5,3.679435483870968,0.4908675799086758,0.0,0.0,5894.0,6009.0,5951.5,1.9319613607727848,0.4869565217391304,0.0,0.0,-0.3988603988609611,-0.0797720797721922,-0.3190883190887689,5952.5,5952.5,5954.230769230769,5954.62962962963,0.2744603870130119,0.248207654342202,0.0262527326708098,-0.0001639903442485,1.998544925427428,251.5039999999999,-40.538980954880095,-40.33749817053631,-0.2014827843437885,5951.5,5951.5,5951.5,5951.5,0.0,0.0,0.0,0.0,66.66666666666667,6178.08925,6141.6065,4.0,8.0,-4.0,5894.0,6180.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,22.831050228310502,48.69565217391305,52.07509881422925,-51.30434782608695,0.0,0.0,-0.0066983242228244,-0.0013396648445648,-0.0053586593782595,4.990825334016503,0.9981650668033004,3.992660267213202,5952.497829316889,-0.0839630562552429,-0.0839983249726117,-0.0839630562552429,0.0839615885097373,5620.91796875,3,0.3851056882939332,4.8979665789806575,0.761694781764561,0.6607873750457003,-1.4274967958231457,4.0899757612646965,-2.3255861961670945,1.386792449302476,5.542723018994352,0.1866213861955117
2021-09-17,5950.0,6180.0,5952.0,6114.0,5620.91796875,11006523,4498018.597620824,7771992,0.1866254653012841,222874561.7142857,230972.1244392984,119157.2519717205,296517.54783452925,6011.500936235263,100.0,1000.0,6006.333333333333,6158.651713343393,5854.014953323273,5.071925634387911,0.8534263778920058,0.0,0.0,5995.333333333333,6144.333333333333,5846.333333333333,4.970532636495053,0.8982102908277415,0.0,0.0,5894.0,6180.0,6037.0,4.761640490593263,0.7692307692307693,0.0,0.0,12.375808637916634,2.411344063765573,9.964464574151062,6006.333333333333,6006.333333333333,5978.8106508875735,5966.434842249657,0.6086249083210582,0.2480724309865579,0.3605524773345003,0.004948416752625,3.162374118840769,197.67066666666688,-31.861789042474275,-37.51226179451563,5.650472752041356,6037.0,6037.0,6037.0,6037.0,0.0,0.0,0.0,0.0,100.00000000000053,6178.08925,6141.6065,12.0,8.0,4.0,5894.0,6180.0,1.0,0.0,97.24692926725965,0.0,0.0,0.0,-46.57980456026059,47.66146993318485,76.92307692307692,60.357758183845135,-23.07692307692308,0.0,0.0,0.207423846319091,0.0404130373881663,0.1670108089309247,12.207806353176853,3.2400933240780105,8.96771302909884,5992.129426207668,2.7563025210084025,2.7190003911105265,2.67002518891688,-2.756297144228228,5449.91845703125,4,2.8350549038644743,1.7167264899171926,0.1096437851641667,0.221731661382293,-0.1319534441757213,0.3198265736159555,5.3030410015474985,-1.819012051160556,-1.1247004635723243,-1.395081274156084
2021-09-20,6000.0,6079.0,5875.0,5928.0,5449.91845703125,3548065,2793555.999581609,4223927,0.1010330846097638,96758182.8979592,-511715.5407243103,-91133.67892695642,195433.9001687269,6004.977830985098,84.52860145758224,969.5780176643768,5986.75,6135.083239700345,5838.416760299655,4.955384464036249,0.3019661671292165,0.0,0.0,5986.666666666667,6149.416666666667,5823.916666666667,5.437082405345212,0.3197644649257543,0.0,0.0,5875.0,6180.0,6027.5,5.094583872718921,0.1737704918032787,0.0,0.0,7.4058107762703,3.4102374062665186,3.9955733700037817,5986.75,5986.75,5970.993627674101,5963.587816897831,0.5878351899315769,0.524772410935086,0.0630627789964909,0.0072654495803626,4.379446388280667,217.2539999999999,-35.018352663860284,-36.8887845118518,1.870431847991512,6027.5,6027.5,6027.5,6027.5,0.0,0.0,0.0,0.0,-36.36363636363631,6178.08925,6141.6065,12.0,16.0,-4.0,5894.0,6180.0,0.0,1.0,44.45040134625981,0.0,0.0,0.0,-36.46603056173328,38.80813953488372,17.37704918032787,47.66525942577261,-82.62295081967213,0.0,0.0,0.1241838135641422,0.0571671926233614,0.0670166209407807,7.611333352773395,4.114341329817087,3.496992022956308,5976.508138610422,-3.042198233562321,-3.089433547485676,-0.4534005037783339,3.042199026376778,5491.2890625,0,11.803711816821677,9.606997336293858,0.1096437851641667,0.221731661382293,-0.1319534441757213,8.663105738712034,5.199998166555162,-1.819012051160556,-1.1247004635723243,-1.395081274156084
2021-09-21,5977.0,6074.0,5949.0,5973.0,5491.2890625,3024519,930452.295581609,7248446,0.0303331548431478,102378921.76967932,142584.6556097019,-32704.095292791848,-84979.76539127031,6004.355546067378,86.34144002206963,976.9381746810598,5984.0,6117.128509343416,5850.871490656584,4.449482264151612,0.4586865350845904,0.0,0.0,5989.066666666668,6144.266666666667,5833.866666666667,5.18277750567702,0.448238831615119,0.0,0.0,5875.0,6180.0,6027.5,5.09692513368984,0.321311475409836,0.0,0.0,7.017284693484726,4.13164686371016,2.885637829774565,5984.0,5984.0,5971.302300339624,5964.285015646139,0.6972893721881154,0.576400091295585,0.1208892808925303,0.0090718007414688,5.518344548483883,220.0039999999999,-35.46161478941663,-36.60335056736476,1.141735777948128,6027.5,6027.5,6027.5,6027.5,0.0,0.0,0.0,0.0,15.604681404420376,6178.08925,6141.6065,12.0,16.0,-4.0,5894.0,6180.0,0.0,0.0,51.33433090764208,0.0,0.0,0.0,-27.21805741822564,37.410071942446045,32.131147540983605,42.1437578814628,-67.8688524590164,0.0,0.0,0.1176550864869175,0.0692647713960727,0.0483903150908447,2.988558135238074,3.889184690901285,-0.9006265556632109,5975.738479970597,0.7591093117408798,0.7562425756383107,0.3022670025188967,-0.7591050360648097,5594.2568359375,1,-1.5037579428341843,-0.9661830745521768,0.1096437851641667,0.221731661382293,-0.1319534441757213,-1.4051508910433768,-2.1097227149000446,4.984233520425661,-1.1247004635723243,0.9503493599505362
2021-09-22,5970.0,6121.0,5950.0,6085.0,5594.2568359375,2136224,2167213.558739504,9384670,0.0660521252223516,121932945.51686798,192114.6846023638,12259.66068623928,63015.84065652047,6007.457563471656,87.39398807848299,995.2567877003596,6000.833333333333,6143.789814667884,5857.876851998783,4.764554300832124,0.7943786314581216,0.0,0.0,5999.555555555556,6157.38888888889,5841.722222222223,5.2615008519149615,0.7706793382611736,0.0,0.0,5875.0,6180.0,6027.5,5.082627412859325,0.6885245901639344,0.0,0.0,15.56738779450916,6.41879504986996,9.1485927446392,6000.833333333333,6000.833333333333,5988.794254133527,5973.226866339018,0.7410763781696991,0.5975083900136432,0.1435679881560558,0.0141131683651865,6.659887532162398,203.17066666666688,-32.74831329358694,-35.96084435506845,3.212531061481513,6027.5,6027.5,6027.5,6027.5,0.0,0.0,0.0,0.0,77.75947281713341,6178.08925,6141.6065,12.0,16.0,-4.0,5894.0,6173.9,0.0,0.0,63.46856600073261,0.0,0.0,0.0,-13.353883389324018,44.4776119402985,68.85245901639344,39.45355191256831,-31.14754098360656,9.983333333332666,0.0,0.2606193962301383,0.1075356963628858,0.1530836998672524,-2.3171917566133087,2.6479094013983664,-4.965101158011676,5997.510534310834,1.875104637535574,1.8577412689321449,2.183039462636449,-1.8751111490499848,5447.16015625,2,-2.074072096082901,-2.8708239925753816,0.8781592698958605,1.1111159201954877,1.9326472500616632,-2.540418832623331,0.0,-1.8960339341526264,-2.030944492654484,0.5298616959088065
2021-09-23,5990.0,6057.0,5795.0,5925.0,5447.16015625,6359963,2118664.222861641,3024707,0.0540880965619062,-40856629.55697027,-451087.5299117307,-64964.87108008905,-127173.48746873942,5994.177531378812,71.36312283453248,995.2567877003596,5990.0,6132.596333352981,5847.403666647019,4.761146355692179,0.2720839012069826,0.0,0.0,5989.0,6161.714285714285,5816.285714285715,5.767717004985317,0.3147229114971046,0.0,0.0,5795.0,6180.0,5987.5,6.42737896494157,0.3376623376623376,0.0,0.0,9.32524762813864,7.000085565523697,2.325162062614944,5990.0,5990.0,5978.9797534976,5969.654505869461,0.6688945313858693,0.6996636798296192,-0.0307691484437498,0.01582983638848,7.897434004895159,214.0039999999999,-34.49449742456644,-35.751366222139595,1.256868797573155,5987.5,5987.5,5987.5,5987.5,0.0,0.0,0.0,0.0,-89.20187793427195,6178.08925,6141.6065,12.0,28.000000000000004,-16.000000000000004,5894.0,6167.922,0.0,0.0,45.87211414121713,0.0,0.0,0.0,-13.747839283888672,44.55598455598456,33.76623376623377,44.9166134412036,-66.23376623376623,14.699999999999818,0.0,0.1562108430055693,0.1172707256914225,0.0389401173141468,0.1293614205476456,2.1441998052282223,-2.0148383846805764,5982.078694065766,-2.62941659819228,-2.6646039418295686,-0.5037783375314908,2.629423067288428,5402.11181640625,3,0.0,0.4651130598487043,0.0,-1.1236004233790453,-0.2836597619242553,-0.225219637743379,-4.958673937967475,-1.8960339341526264,1.090040240728186,0.5298616959088065
2021-09-27,5941.0,5945.0,5820.0,5876.0,5402.11181640625,3271160,1778463.5828616412,-246453,0.0419036059459628,-57918088.191688806,-166225.43684809058,-79430.66618980355,-194282.55398451613,5985.403097421215,65.2537991873598,987.0259720721206,5975.75,6128.974508483467,5822.525491516533,5.12821013206599,0.1744972426824157,0.0,0.0,5975.416666666667,6142.166666666667,5808.666666666667,5.581200753085558,0.2018990504747617,0.0,0.0,5795.0,6180.0,5987.5,6.442705936493328,0.2103896103896103,0.0,0.0,0.4195794336528706,5.683984339149532,-5.2644049054966615,5975.75,5975.75,5963.136714497969,5962.717135064316,0.7098747904326163,0.7919733531522145,-0.0820985627195982,0.0136090066797497,9.029441757113595,228.2539999999999,-36.79140116608564,-35.88137059013285,-0.9100305759527814,5987.5,5987.5,5987.5,5987.5,0.0,0.0,0.0,0.0,-122.83676490378208,6178.08925,6141.6065,12.0,32.0,-20.0,5894.0,6153.00512,0.0,0.0,42.02905696420669,0.0,0.0,0.0,-15.83810015480056,46.71640530204125,21.03896103896104,41.21921794052941,-78.96103896103897,-8.75,0.0,0.0070367153790592,0.0952239236289498,-0.0881872082498906,-2.8642547250508703,1.142508899172404,-4.006763624223274,5960.844456036323,-0.8270042194092775,-0.8304428709564604,-1.3266162888329158,0.8270059728657344,5310.1767578125,0,-2.745665536498308,2.336461815937355,0.0,0.4464329451691071,-5.017917959948733,0.1116096968667506,-0.7873840634360363,0.0452568127599448,10.00466344114649,0.6306912370986595
2021-09-28,5903.0,5975.0,5709.0,5776.0,5310.1767578125,3860672,-137358.6126270804,-4107125,-0.0029665516546214,-104796532.73573329,-279044.68444871774,-104382.41847216785,-92755.01379680772,5971.611881337916,59.32161768480785,987.0259720721206,5953.555555555556,6144.950693334529,5762.160417776582,6.429607853423769,0.0361544770259526,0.0,0.0,5958.148148148149,6135.925925925926,5780.37037037037,5.967551439050165,-0.0122916666666668,0.0,1.0,5709.0,6180.0,5944.5,7.911238848867157,0.1422505307855626,0.0,0.0,-14.539785441613276,1.6392303829969703,-16.179015824610246,5953.555555555556,5953.555555555556,5934.34645072905,5948.886236170663,0.6919391475309703,0.8054065632946696,-0.1134674157636993,0.0055432446158502,10.239587678058175,250.44844444444425,-40.36883993698978,-36.37997829533918,-3.988861641650601,5944.5,5944.5,5944.5,5944.5,0.0,0.0,0.0,0.0,-158.94886363636394,6178.08925,6141.6065,12.0,36.0,-24.0,5894.0,6138.6849152,0.0,0.0,35.49371711344213,0.0,0.0,0.0,-20.302069561636475,43.11251533049232,14.225053078556265,23.010082627917026,-85.77494692144374,-20.944444444444343,0.0,-0.2444118926532478,0.0272967603725103,-0.2717086530257582,-4.311624473647206,0.0516822246084819,-4.363306698255688,5919.43013564675,-1.701837985023824,-1.7164856721105792,-3.005877413937863,1.7018355361424111,5346.951171875,1,1.2658249071425018,1.4354029454092796,-0.1108593400830955,-0.6726400581019334,3.290104849265461,2.011165981424128,-3.906258373143018,-2.385263791788816,5.946215104067164,0.225678777133055
2021-09-29,5761.0,5918.0,5727.0,5816.0,5346.951171875,5511817,-512508.4607946197,1404692,-0.0098912612409118,-58329502.34491424,-67572.99816013486,-100292.48288194196,-27531.90473384386,5955.5194090361365,63.9949703766611,987.0259720721206,5939.8,6139.250846074917,5740.349153925084,6.715742822146087,0.189647844478185,0.0,0.0,5944.366666666667,6123.466666666666,5765.266666666666,6.025873235724577,0.1416340964079665,0.0,0.0,5709.0,6180.0,5944.5,7.929559917842352,0.227176220806794,187.7,0.0,-22.903506806090263,-3.2693170548204766,-19.634189751269787,5939.8,5939.8,5916.139304463042,5939.0428112691325,0.7289345615126404,0.8507446302462586,-0.1218100687336182,-0.004789944173139,11.40886918626216,264.2039999999997,-42.58604604381298,-36.65220392396368,-5.933842119849302,5944.5,5944.5,5944.5,5944.5,0.0,0.0,0.0,0.0,-124.85739212133444,6178.08925,6141.6065,12.0,36.0,-24.0,5894.0,6112.903820287999,0.0,0.0,39.54327685077661,0.0,0.0,0.0,-21.38896606474199,41.02427332147563,22.717622080679405,19.327212066065567,-77.2823779193206,-44.94999999999982,0.0,-0.385643066297344,-0.0552912049614605,-0.3303518613358834,-2.653559702059584,-0.4893661607251313,-2.1641935413344524,5896.7971464673055,0.6925207756232732,0.6901338640693311,-2.3341729638958864,-0.6925271180172388,5429.69287109375,2,4.843307030080879,3.883493005975837,0.1107365782432339,0.0,2.3150732193016523,3.192710057359648,-2.2556558859402145,1.1390599141827806,9.070922010454652,3.702120578958088
