Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_NST.AX_2021-09-15_2023-09-15_Close_percent,asx_EVN.AX_2021-09-15_2023-09-15_Close_percent,asx_NCM.AX_2021-09-15_2023-09-15_Close_percent,ssx_601899.SS_2021-09-15_2023-09-15_Close_percent,ssx_000001.SZ_2021-09-15_2023-09-15_Close_percent,asx_AGL.AX_2021-09-15_2023-09-15_Close_percent,ssx_600016.SS_2021-09-15_2023-09-15_Close_percent,ssx_601668.SS_2021-09-15_2023-09-15_Close_percent,ssx_601012.SS_2021-09-15_2023-09-15_Close_percent,ssx_601601.SS_2021-09-15_2023-09-15_Close_percent
2021-09-15,331.0,345.0,330.0,335.0,304.4943542480469,9084059,-3028019.6666666665,9084059,-0.3333333333333333,0.0,0.0,0.0,-807770.423775034,336.6666666666667,50.0,1000.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,336.6666666666667,351.6666666666667,321.6666666666667,8.91089108910891,0.4444444444444438,0.0,0.0,330.0,345.0,337.5,4.477611940298507,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,335.0,335.0,335.0,335.0,0.0,0.0,0.0,-9.030885203715052,1.0,32.93599999999998,-89.51556792485644,-89.51556792485644,0.0,337.5,337.5,337.5,337.5,0.0,0.0,0.0,0.0,0.0,368.901,372.273,4.0,4.0,0.0,295.0,345.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,33.333333333333336,-66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,-8.951556792485649,0.0,0.0,-0.0,298.1317749023437,2,0.0915568106457575,0.0447735135255803,0.0553286835589165,0.0417682097655498,-0.1096989980035375,0.1616487061532466,0.0160329124593586,0.0489601059090287,-0.2129503329406123,0.0369763662740808
2021-09-16,336.0,338.0,325.0,328.0,298.1317749023437,2298398,-4265618.58974359,6785661,-0.3747537627195595,-16088786.0,-3393.6681114410994,-3393.6681114410994,-861190.9273135752,335.3878109093669,0.0,979.1044776119404,331.5,338.5,324.5,4.223227752639517,0.25,0.0,0.0,333.5,347.5,319.5,8.395802098950526,0.3035714285714285,0.0,0.0,325.0,345.0,335.0,6.033182503770739,0.15,0.0,0.0,-0.5584045584045612,-0.1116809116809122,-0.4467236467236489,331.5,331.5,333.9230769230769,334.48148148148147,0.1570598397989634,0.3926495994974087,-0.2355897596984452,-0.0040811567164179,1.9785522788203755,36.43599999999998,-99.02809184205944,-94.27182988345794,-4.756261958601499,335.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,-66.66666666666667,368.901,372.273,4.0,8.0,-4.0,295.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,10.714285714285712,15.0,24.166666666666668,-85.0,0.0,0.0,-0.1669463301619217,-0.0333892660323843,-0.1335570641295373,-6.307889041672589,-1.261577808334518,-5.046311233338072,334.84136894438666,-2.089552238805969,-2.1116923440922086,-2.089552238805969,-2.089555769076796,268.1368103027344,3,-1.2422192810971069,-1.259444530514486,-0.1627308912983096,-3.559043006716678,-2.2541086365454674,1.025644642837392,-0.9950276805229948,-1.980218569044652,-3.674193013536666,-0.6814833759020331
2021-09-17,327.0,335.0,295.0,295.0,268.1368103027344,7666042,-11931660.58974359,-880381,-0.6263832436216412,-49930300.28571428,-8609.397130879272,-6001.532621160186,-819304.8427193302,324.49977393669354,0.0,979.1044776119404,319.3333333333333,354.21726787186964,284.449398794797,21.84797570263236,0.151224357928257,0.0,0.0,325.1111111111111,347.77777777777777,302.4444444444444,13.943950786056062,-0.1642156862745087,0.0,1.0,295.0,345.0,320.0,15.657620041753653,0.0,0.0,0.0,-3.6220160550644778,-0.8137479403576254,-2.8082681147068524,319.3333333333333,319.3333333333333,327.9349112426036,331.55692729766804,0.1979414093428345,0.692794932699921,-0.4948535233570864,-0.0299539976561543,3.2184716336590853,48.60266666666666,-132.09543688757458,-106.87969888483016,-25.21573800274443,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,-99.99999999999984,368.901,372.273,4.0,12.0,-8.0,295.0,345.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,4.411764705882353,0.0,16.11111111111111,-100.0,0.0,0.0,-1.092426596115928,-0.2451967320490931,-0.847229864066835,-6.237655788129863,-2.256793404293587,-3.980862383836276,328.5423606015811,-10.060975609756095,-10.603825204432392,-11.940298507462687,-10.060975422507212,290.8602600097656,4,-2.830186797409965,-3.316330571704654,-3.096983514328116,-2.7002622448917606,-2.8825895632038936,-6.598977639572098,-0.2512553219413149,-0.6060512209196816,-0.9998794298778648,-1.8779352563114031
2021-09-20,309.0,328.0,305.0,320.0,290.8602600097656,11473580,-8439701.459308807,10593199,-0.2765113562319528,-1820328.816326536,300.69080443941647,-3900.791479293652,201058.67228193465,321.93113492258067,53.85536863314856,979.1044776119404,319.5,349.71588985947625,289.2841101405237,18.91448504505556,0.5082737924040187,0.0,0.0,323.25,346.0,300.5,14.075792730085071,0.4285714285714285,0.0,0.0,295.0,345.0,320.0,15.64945226917058,0.5,0.0,0.0,-3.9867029421334905,-1.4483389407127985,-2.538364001420692,319.5,319.5,326.7141556668184,330.7008586089519,0.4115027110766848,0.7503872966692487,-0.3388845855925639,-0.0546951832516459,4.431850772889928,48.43599999999998,-131.642459558184,-113.0703890531686,-18.57207050501537,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,-36.31436314363131,368.901,372.273,4.0,12.0,-8.0,295.0,344.0,0.0,0.0,40.53271569195136,0.0,0.0,0.0,-92.870238337747,27.72277227722773,50.0,21.666666666666668,-50.0,0.0,0.0,-1.2055314760605744,-0.4372636808513894,-0.768267795209185,-2.4416606286568863,-2.293766849166248,-0.1478937794906389,328.4457761990096,8.47457627118644,8.134563945395179,-4.477611940298509,8.474572991815563,282.6798400878906,0,-1.186630708029398,-2.1108171013550816,-1.8082419486251808,-2.7002622448917606,-2.8825895632038936,-3.4420299719033665,-0.2512553219413149,-0.6060512209196816,-0.9998794298778648,-1.8779352563114031
2021-09-21,321.0,320.0,311.0,311.0,282.6798400878906,1845191,-10284892.459308809,8748008,-0.3177559447957399,-3932670.2711370313,-487.7543842344776,-3047.5322055288584,920441.2912605932,321.4789973533964,49.60834999437576,951.5671641791046,317.8,345.6682615173606,289.93173848263945,17.53823884037795,0.3779974130111427,0.0,0.0,321.4,341.4,301.4,12.445550715619166,0.2400000000000005,0.0,0.0,295.0,345.0,320.0,15.733165512901197,0.32,0.0,0.0,-4.944942492490839,-2.1476596510684067,-2.797282841422432,317.8,317.8,324.29659325653864,329.2415357490295,0.4964795089366312,0.8274658482277187,-0.3309863392910875,-0.0827829061425066,5.493339506845916,50.13599999999997,-136.26282831796829,-117.70887690612854,-18.553951411839748,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,-50.96418732782356,368.901,372.273,4.0,12.0,-8.0,295.0,343.02,0.0,0.0,35.02829208206629,0.0,0.0,0.0,-87.85448516512118,25.454545454545457,32.0,27.33333333333333,-68.0,0.0,0.0,-1.501919398243912,-0.650194824329894,-0.8517245739140181,-8.876279907619395,-3.610269460856877,-5.266010446762518,328.109405830441,-2.812499999999996,-2.852808361453807,-7.164179104477608,-2.812491442316784,289.9513244628906,1,0.982535794999592,0.808625838207476,0.7708806088828624,-2.7002622448917606,-2.8825895632038936,3.5647290129461027,-0.2512553219413149,-0.6060512209196816,-0.9998794298778648,-1.8779352563114031
2021-09-22,315.0,324.0,316.0,319.0,289.9513244628906,8574263,-12428458.209308809,17322271,-0.3035660196043174,6428297.481882544,419.8611589124336,-2354.0535326406,168663.8230606913,321.0994463495053,63.299738636591776,951.5671641791046,318.0,343.4558441227157,292.5441558772843,16.009964857053895,0.5196418550329597,0.0,0.0,321.11111111111114,339.11111111111114,303.11111111111114,11.21107266435986,0.4413580246913571,0.0,0.0,295.0,345.0,320.0,15.723270440251572,0.48,0.0,0.0,-5.001170715790863,-2.7183618640128984,-2.2828088517779648,318.0,318.0,323.48173275553273,328.4829034713236,0.5413331871505318,0.7811643460146915,-0.2398311588641597,-0.107112565811295,6.44733889857341,49.93599999999998,-135.71925552269954,-120.71060667555705,-15.00864884714251,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,-11.6591928251122,368.901,372.273,4.0,12.0,-8.0,295.0,342.0596,0.0,0.0,42.50283650961269,0.0,0.0,0.0,-82.19884289446574,29.268292682926823,48.0,43.333333333333336,-52.0,-2.966666666666697,0.0,-1.5225056351304027,-0.8246569864899957,-0.697848648640407,-7.146964714518206,-4.317608511589143,-2.8293562029290635,327.8976366040784,2.572347266881025,2.539819060561044,-4.77611940298508,2.572339213415134,287.2245178222656,2,0.3243144915045093,1.6042856500930895,0.5949739735990818,-0.9250727410245788,-2.9681705937382645,2.898536012288872,-1.7632241475249089,1.0162549279397552,0.1870352218474948,-1.7298476747187834
2021-09-23,312.0,325.0,314.0,316.0,287.2245178222656,9744572,-18629549.48203608,7577699,-0.3675474665499761,1333724.1273278955,-56.44167850573633,-1971.1182236181228,128918.07698898284,320.5676519366928,48.41294536768103,951.5671641791046,317.7142857142857,341.32334658298697,294.1052248455845,14.861818892168053,0.4636943264321376,0.0,0.0,320.7142857142857,337.7142857142857,303.7142857142857,10.601336302895325,0.3613445378151258,0.0,0.0,295.0,345.0,320.0,15.737410071942444,0.42,0.0,0.0,-5.227547007940018,-3.2201988927983223,-2.007348115141696,317.7142857142857,317.7142857142857,322.33069694698924,327.55824395492925,0.5607381352908193,0.7901310088188817,-0.2293928735280623,-0.129453620353751,7.360604549512167,50.221714285714256,-136.49578808736916,-122.9656325915302,-13.530155495838969,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,-21.72563625077615,368.901,372.273,4.0,12.0,-8.0,295.0,341.118408,0.0,0.0,40.61583693507655,0.0,0.0,0.0,-78.02117346844932,28.35820895522388,42.0,40.66666666666666,-58.0,-4.914285714285711,0.0,-1.595913735774975,-0.9789083363469916,-0.6170053994279834,-4.539827009103988,-4.362052211092112,-0.1777747980118755,327.69666776554016,-0.9404388714733593,-0.9448889197932075,-5.671641791044779,-0.9404360009998812,288.1334533691406,3,-1.4008521135334036,-1.05264079398097,0.0422552144131742,-1.213822388244708,-1.668518818306964,5.281699962196953,1.0256370988340675,1.60967492057857,-0.1991196069291305,1.4981239390316858
2021-09-27,317.0,338.0,315.0,317.0,288.1334533691406,9363355,-26364494.91681869,16941054,-0.4390463280905222,2480814.251995339,1719.4691432718294,-1443.891456919558,-62010.87269354392,320.99889739224966,58.04321643125381,954.5784526733422,317.625,339.7143073680457,295.53569263195425,13.90904832305124,0.4858528837145858,0.0,0.0,321.0416666666667,338.7916666666667,303.2916666666667,11.057754704737183,0.3861502347417835,0.0,0.0,295.0,345.0,320.0,15.741833923652104,0.44,0.0,0.0,-5.265562085744136,-3.629271531387485,-1.636290554356651,317.625,317.625,321.5105897243755,326.77615181011964,0.6224435354792816,0.7447092299484261,-0.1222656944691445,-0.1486991632366588,8.368417196094265,50.31099999999998,-136.73845451382843,-124.68723533181748,-12.051219182010954,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,22.46043899948916,368.901,372.273,4.0,12.0,-8.0,295.0,340.19603984,0.0,0.0,41.54741876773383,0.0,0.0,0.0,-74.564384469704,27.015596765305208,44.0,44.66666666666666,-56.0,-3.1499999999999773,0.0,-1.6113666975317724,-1.105400008583948,-0.5059666889478245,-2.8580422767918057,-4.061250224232051,1.2032079474402453,327.3943626294332,0.3164556962025333,0.3159560290368013,-5.3731343283582085,0.3164547211242734,286.3155822753906,0,-1.484007771103677,-1.108029421489675,-1.1260248482902568,-2.0309484233126938,1.2680116992191586,-1.3400268688016013,-0.7672672640930926,-1.6260121241334673,1.4301404547152003,1.992612791380324
2021-09-28,316.0,320.0,315.0,315.0,286.3155822753906,12267259,-38631753.91681869,4673795,-0.534202248816331,-1378518.9268611376,-366.8301125785312,-1309.2587888769297,-47765.08558279759,320.26401067319813,46.82667392831736,954.5784526733422,317.3333333333333,338.2245861546565,296.44208051201014,13.166755979825536,0.4441552559511477,0.0,0.0,320.55555555555554,336.8888888888889,304.22222222222223,10.190641247833629,0.3299319727891152,0.0,0.0,295.0,345.0,320.0,15.756302521008406,0.4,0.0,0.0,-5.394883732619235,-3.982393971633836,-1.412489760985399,317.3333333333333,317.3333333333333,320.50896053601,325.90384426862926,0.632651295583337,0.8489423368084095,-0.2162910412250724,-0.1659558009525033,9.258958671842858,50.60266666666666,-137.53116484026205,-126.11433861053357,-11.4168262297285,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,-40.69767441860437,368.901,372.273,4.0,12.0,-8.0,295.0,339.2921190432,0.0,0.0,40.189488319614,0.0,0.0,0.0,-71.8968597802742,26.360262181157704,40.0,42.0,-60.0,-2.3666666666666742,0.0,-1.6553605695342617,-1.2153921207740108,-0.4399684487602506,1.1681432991376286,-3.015371519558115,4.183514818695744,327.1268400300131,-0.6309148264984188,-0.6329135051647228,-5.970149253731338,-0.6309128886263125,289.0423889160156,1,-4.28737323815264,-6.442571829819698,-2.7157265697038184,0.888450437281918,2.276597864833164,-3.565373087030352,0.773199772836108,0.6198250277181785,-1.7112577461962104,0.8321399839340415
2021-09-29,320.0,322.0,315.0,318.0,289.0423889160156,674845,-38728160.34539012,5348640,-0.530584059623522,-892368.3658809753,1037.2752261630449,-1048.5327872058217,-70968.86059786691,320.2461605563076,47.38891306914611,963.669676032136,317.4,337.22321870938214,297.5767812906178,12.491001077115412,0.5151337683550867,0.0,0.0,320.33333333333337,335.7333333333333,304.93333333333334,9.614984391259108,0.424242424242424,0.0,0.0,295.0,345.0,320.0,15.752993068683052,0.46,16.9,0.0,-5.195407715411761,-4.224996720389421,-0.9704109950223404,317.4,317.4,320.1229666073931,325.31837432280486,0.6460486828942982,0.8440313437812605,-0.1979826608869623,-0.1790858654412218,10.09190416584128,50.536,-137.34997390850577,-131.4292726087168,-5.920701299788959,316.5,320.0,318.25,320.0,0.0,0.0,0.0,0.0,-22.727272727273323,368.901,372.273,4.0,12.0,-8.0,295.0,338.406276662336,0.0,0.0,43.18894291214495,0.0,0.0,0.0,-69.07957693139981,33.535314647272,46.0,43.333333333333336,-54.0,-1.400000000000034,0.0,-1.597022524850224,-1.2917182015892537,-0.3053043232609704,-6.838616665929844,-3.780020548832461,-3.0585961170973825,326.9820341603672,0.952380952380949,0.9478743954543845,-5.074626865671639,0.9523780085438176,281.7709045410156,2,2.905584171569089,4.191609300361378,1.8910406707710763,-1.956944567321031,1.0016817589493598,3.345071859421097,0.5115001437863214,-1.0266888124048137,-0.6007790343526693,0.4305672876848945
