Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_CBAPH.AX_2021-09-15_2023-09-15_Close_percent,ssx_600887.SS_2021-09-15_2023-09-15_Close_percent,jpx_4689.T_2021-09-15_2023-09-15_Close_percent,ssx_601111.SS_2021-09-15_2023-09-15_Close_percent,ssx_600938.SS_2021-09-15_2023-09-15_Close_percent,asx_ALD.AX_2021-09-15_2023-09-15_Close_percent,asx_NAB.AX_2021-09-15_2023-09-15_Close_percent,ssx_600019.SS_2021-09-15_2023-09-15_Close_percent,ssx_300750.SZ_2021-09-15_2023-09-15_Close_percent,ssx_002475.SZ_2021-09-15_2023-09-15_Close_percent
2021-09-15,1162.0,1162.0,1114.0,1146.0,1120.5845947265625,289992,96664.0,289992,0.3333333333333333,0.0,0.0,0.0,44751.50200002924,1140.6666666666667,50.0,1000.0,1146.0,1146.0,1146.0,0.0,0.0,0.0,0.0,1140.6666666666667,1188.6666666666667,1092.6666666666667,8.416130917592051,0.5555555555555548,0.0,0.0,1114.0,1162.0,1138.0,4.18848167539267,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1146.0,1146.0,1146.0,1146.0,0.0,0.0,0.0,14.65386248766686,1.0,-153.99199999999996,155.2326190917815,155.2326190917815,0.0,1138.0,1138.0,1138.0,1138.0,0.0,0.0,0.0,0.0,0.0,990.9395,1000.149,4.0,4.0,0.0,1057.0,1162.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,66.66666666666667,-33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,15.523261909178142,0.0,0.0,0.0,1085.383056640625,2,-0.0073448943928145615,0.04395002579094941,0.03423239730434684,-0.015506405188228276,-0.1605885923159077,-0.07952138333146326,-0.04283829266576736,0.06487774146849744,0.08619531454098336,0.01842608781789802
2021-09-16,1106.0,1146.0,1090.0,1110.0,1085.383056640625,1595306,-359137.71428571426,-1305314,-0.1904938711470092,-57431016.0,-70205.96675496739,-70205.96675496739,-5098.106931665956,1119.2300456833173,0.0,1000.0,1128.0,1164.0,1092.0,6.382978723404255,0.25,0.0,0.0,1128.0,1180.0,1076.0,9.219858156028367,0.3269230769230769,0.0,0.0,1090.0,1162.0,1126.0,6.382978723404255,0.2777777777777778,0.0,0.0,-2.871794871794691,-0.5743589743589382,-2.297435897435753,1128.0,1128.0,1140.4615384615386,1143.3333333333333,0.141597932670183,0.3185953485079118,-0.1769974158377288,-0.0061354712041884,2.0264900662251657,-135.99199999999996,137.0876041322247,146.1601116120031,-9.072507479778409,1126.0,1126.0,1126.0,1126.0,0.0,0.0,0.0,0.0,-66.66666666666667,990.9395,1000.149,4.0,8.0,-4.0,1057.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,19.23076923076923,27.77777777777778,47.22222222222223,-72.22222222222223,0.0,0.0,-0.2511773940345211,-0.0502354788069042,-0.2009419152276169,26.92849227081784,5.385698454163568,21.54279381665427,1136.989810360284,-3.141361256544506,-3.191760296830548,-3.141361256544506,3.141354811729059,1085.383056640625,3,0.1913942803838892,-0.6894526590827752,0.5138591435211595,1.2311922475018378,-0.1605885923159077,-0.7953631646451385,-0.2132204644208428,0.1813230690095366,5.206060236782633,-2.0359318107597204
2021-09-17,1110.0,1122.0,1070.0,1110.0,1085.383056640625,731937,34982.2087912088,-573377,0.0133660939087276,-49226585.14285715,-156297.6048485047,-113251.78580173606,-50114.32460732984,1114.038603589921,0.0,1000.0,1122.0,1155.9411254969543,1088.0588745030457,6.050111496783303,0.3232233047033633,0.0,0.0,1118.888888888889,1170.888888888889,1066.888888888889,9.29493545183714,0.4145299145299143,0.0,0.0,1070.0,1162.0,1116.0,8.19964349376114,0.4347826086956521,0.0,0.0,-5.089049601869874,-1.4772970998611257,-3.611752502008749,1122.0,1122.0,1135.775147928994,1140.864197530864,0.2302224524446747,0.5323894212783102,-0.3021669688336355,-0.0161066001268075,3.0554184028458096,-129.99199999999996,131.0392658123724,141.11982967879285,-10.080563866420448,1116.0,1116.0,1116.0,1116.0,0.0,0.0,0.0,0.0,-83.67346938775468,990.9395,1000.149,4.0,8.0,-4.0,1057.0,1162.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,38.46153846153846,43.47826086956522,45.97423510466989,-56.52173913043478,0.0,0.0,-0.4460697086370088,-0.1294023247729251,-0.3166673838640836,28.05285786255465,9.919130335841784,18.13372752671286,1129.6892237625373,0.0,0.0,-3.141361256544506,0.0,1056.04833984375,4,-0.1725843912581979,-1.2553666202898626,-0.3262202529691791,-3.18559592461402,-0.1605885923159077,2.6183602448624868,1.099291398991724,5.0862784509143495,-1.0040206210113922,1.6138574253145634
2021-09-20,1107.0,1136.0,1057.0,1080.0,1056.04833984375,414724,-138256.93044929754,-988101,-0.0455998680883539,-43971604.40816328,9524.406593300604,-72326.38833672383,-11208.756756756757,1110.8872872841175,0.0,972.972972972973,1111.5,1158.2653718043598,1064.7346281956402,8.414821737176753,0.1632123429727191,0.0,0.0,1111.9166666666667,1170.6666666666667,1053.1666666666667,10.567338679457391,0.2283687943262405,0.0,0.0,1057.0,1162.0,1109.5,9.446693657219974,0.219047619047619,0.0,0.0,-9.161382514585512,-3.0141141828060025,-6.147268331779509,1111.5,1111.5,1127.194355939918,1136.3557384545036,0.3641538185729652,0.5966520258157046,-0.2324982072427394,-0.0333051209340264,4.170236883640215,-119.49199999999996,120.454673752631,135.9535406972524,-15.498866944621412,1109.5,1109.5,1109.5,1109.5,0.0,0.0,0.0,0.0,-86.70120898100214,990.9395,1000.149,4.0,16.0,-12.0,1057.0,1160.16,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,35.319148936170215,21.904761904761905,31.053600184034966,-78.0952380952381,0.0,0.0,-0.8062072645530365,-0.2647633127289474,-0.541443951824089,23.774241319235443,12.690152532520516,11.084088786714927,1124.3043471712149,-2.7027027027026973,-2.739897418811399,-5.759162303664922,2.702706350297106,1075.604736328125,0,-0.0086034620767208,-1.2553666202898626,-0.3262202529691791,-3.18559592461402,-0.1605885923159077,3.5727469264002565,1.9720294676014447,5.0862784509143495,-1.0040206210113922,1.6138574253145634
2021-09-21,1086.0,1105.0,1085.0,1100.0,1075.604736328125,468865,96175.56955070246,-519236,0.0274722664009108,-36350332.349854246,-6398.43025177823,-55844.39881548743,-2526.0715715715723,1108.9827210203464,14.47778713237436,972.972972972973,1109.2,1152.0280282058377,1066.3719717941626,7.722327480316881,0.3925937010713688,0.0,0.0,1108.8666666666668,1159.8666666666668,1057.8666666666668,9.198581133890457,0.4130718954248354,0.0,0.0,1057.0,1162.0,1109.5,9.466282005048685,0.4095238095238095,0.0,0.0,-10.652111918968558,-4.541713730038514,-6.110398188930044,1109.2,1109.2,1123.0106088722384,1133.662720791207,0.4659783450962324,0.6911139500303672,-0.2251356049341348,-0.0511440166483033,5.147450642727738,-117.192,118.1361440633543,132.39006137047278,-14.253917307118485,1109.5,1109.5,1109.5,1109.5,0.0,0.0,0.0,0.0,-53.13588850174238,990.9395,1000.149,4.0,16.0,-12.0,1057.0,1156.0336,0.0,0.0,26.082162614299563,0.0,0.0,0.0,-98.73566226349588,39.61538461538462,40.95238095238095,35.445134575569355,-59.04761904761905,0.0,0.0,-0.93961914100291,-0.39973447838374,-0.5398846626191701,20.99526057879632,14.35117414177568,6.64408643702064,1120.8405474093586,1.85185185185186,1.8349138668195764,-4.013961605584637,-1.851846714447604,1087.338623046875,1,0.0373199456519586,-1.2553666202898626,0.4877350764075743,-3.18559592461402,-0.1605885923159077,-2.8647870866125658,0.8778381331624132,5.0862784509143495,-1.0040206210113922,1.6138574253145634
2021-09-22,1100.0,1112.0,1097.0,1112.0,1087.338623046875,421121,517296.56955070246,-98115,0.1318979663281108,-30435506.014160786,33838.25551326103,-37907.86794973775,13276.732457912458,1108.7698252610203,24.400959441695377,983.5872235872235,1109.6666666666667,1148.818791626736,1070.5145417065974,7.056556015632812,0.5297982974833804,0.0,0.0,1108.5555555555557,1153.5555555555557,1063.5555555555557,8.118672947779892,0.5382716049382705,0.0,0.0,1057.0,1162.0,1109.5,9.462300991288677,0.5238095238095238,0.0,0.0,-10.741405760933048,-5.781652136217421,-4.959753624715628,1109.6666666666667,1109.6666666666667,1121.31666904574,1132.0580748066732,0.5163832016766081,0.6851523456392069,-0.1687691439625988,-0.0665130792411201,6.016908885149167,-117.6586666666667,118.60657037712056,130.09281287158075,-11.486242494460186,1109.5,1109.5,1109.5,1109.5,0.0,0.0,0.0,0.0,-8.000000000000515,990.9395,1000.149,4.0,16.0,-12.0,1057.0,1152.072256,0.0,0.0,36.74293287214033,0.0,0.0,0.0,-96.9362165865316,42.9090909090909,52.38095238095238,38.41269841269841,-47.61904761904762,-6.0,0.0,-0.9488387565953637,-0.5095553340260648,-0.4392834225692987,17.837147144905323,15.048368742401609,2.7887784025037146,1119.5662534858125,1.090909090909098,1.08500160240661,-2.96684118673648,-1.0909106591336553,1130.36279296875,2,0.2479613819230905,0.3944966517482271,0.3403731978827693,-0.6711435169794413,-0.1605885923159077,-1.5967399501058992,0.7010981069712017,-0.0956934591944502,1.926456560155444,1.8789038720264413
2021-09-23,1115.0,1160.0,1115.0,1156.0,1130.36279296875,622104,1028804.3028840356,523989,0.226406956193482,-22177208.58356639,238706.0684387177,8194.454781671491,29209.67317200785,1113.5473847956598,35.77430763331765,983.5872235872235,1116.2857142857142,1164.92096647075,1067.6504621006784,8.713764148841843,0.908287033890462,0.0,0.0,1113.571428571429,1158.571428571429,1068.571428571429,8.082103912764591,0.9714285714285704,0.0,0.0,1057.0,1162.0,1109.5,9.406194010749935,0.9428571428571428,0.0,0.0,-7.178984631293133,-6.061118635232564,-1.1178659960605692,1116.2857142857142,1116.2857142857142,1126.6525661156263,1133.8315507469194,0.6022580181216741,0.6179886379979865,-0.0157306198763124,-0.0719369245133777,6.920301022189797,-124.27771428571418,125.27894360298934,129.40511726178198,-4.126173658792638,1109.5,1109.5,1109.5,1109.5,0.0,0.0,0.0,0.0,119.1168551427032,990.9395,1000.149,28.000000000000004,16.0,12.000000000000004,1057.0,1152.072256,1.0,0.0,59.69609661807896,0.0,0.0,0.0,-92.65063634287928,50.15479876160991,94.28571428571428,62.53968253968254,-5.714285714285714,-6.314285714285688,0.0,-0.6331614803419368,-0.5342765632892392,-0.0988849170526975,18.349206510442244,15.708536296009736,2.6406702144325074,1126.628702222128,3.9568345323740974,3.880557442179544,0.8726003490401313,-3.9568326747481137,1153.8306884765625,3,-0.1334115357022653,-1.0183868684102038,0.3403731978827693,-0.1333363850911411,-0.1605885923159077,-1.7178232322139593,-0.5945689686974305,1.0516321811082605,0.0648544217410744,-7.841939996237059
2021-09-27,1110.0,1180.0,1150.0,1180.0,1153.8306884765625,53109,1081913.3028840355,577098,0.2353439457343071,-18826947.9287712,1553409.026718635,228939.3936298092,25718.23489582037,1114.1995577122502,36.60722769927753,1004.007719578654,1124.25,1186.264111297349,1062.235888702651,11.03208562105386,0.9494944685467356,0.0,0.0,1120.625,1163.75,1077.5,7.69659788064696,1.1884057971014492,1.0,0.0,1057.0,1180.0,1118.5,10.940627084723149,1.0,0.0,0.0,-2.3915722404781263,-5.327209356281677,2.9356371158035506,1124.25,1124.25,1134.8598636362992,1137.2514358767774,0.701064438980025,0.6000101054333548,0.1010543335466702,-0.066213585821141,7.796644554675725,-132.24199999999996,133.30739268231704,129.89290168934886,3.414490992968183,1118.5,1118.5,1118.5,1118.5,0.0,0.0,0.0,0.0,142.40648940964394,990.9395,1000.149,32.0,16.0,16.0,1059.06,1152.072256,0.0,0.0,66.77736192913804,0.0,0.0,0.0,-87.65674909815893,59.28229760301464,100.0,82.22222222222221,-0.0,0.8875000000000455,0.0,-0.2102940620720619,-0.4694800630458038,0.2591860009737418,9.122071725771596,14.39124338196211,-5.2691716561905135,1136.189400376394,2.076124567474058,2.054866822738699,2.966841186736469,-2.0761383560916045,1163.6087646484375,0,-0.0009589154619646,-0.5393726979394842,1.742801843352666,0.7947075245154309,-0.1605885923159077,-0.4336900822216165,-0.8409423354599426,3.7460858691548538,-2.704115262993781,-3.483157522539855
2021-09-28,1110.0,1205.0,1156.0,1190.0,1163.6087646484375,488399,1271292.5069656684,1065497,0.2499809769049228,-15439671.081803882,155508.09891093144,219760.48178994947,5241.583572810979,1120.8709344259964,43.43238403569123,1004.007719578654,1131.5555555555557,1203.1538864554748,1059.9572246556363,12.65485031616795,0.90814110964499,0.0,0.0,1127.6296296296298,1171.4074074074076,1083.851851851852,7.764566773960463,1.2123519458544814,1.0,0.0,1057.0,1205.0,1131.0,13.079340141398273,0.8986486486486487,0.0,0.0,2.184224615465155,-3.8249225619323104,6.009147177397465,1131.5555555555557,1131.5555555555557,1143.342961538407,1141.158736922942,0.7404693201422923,0.5897036595978565,0.1507656605444357,-0.0514074714468138,8.727892004227753,-139.54755555555562,140.6718046180631,131.09055757031712,9.58124704774599,1131.0,1131.0,1131.0,1131.0,0.0,0.0,0.0,0.0,131.8710052295175,990.9395,1000.149,36.0,16.0,20.0,1063.8976,1152.072256,0.0,0.0,69.20517341459632,0.0,0.0,0.0,-82.957447421306,63.59525479028634,89.86486486486487,94.7168597168597,-10.135135135135137,10.833333333333258,0.0,0.1914041004807771,-0.3373032303404876,0.5287073308212648,9.240620762016723,13.361118857973034,-4.120498095956311,1143.7097745566268,0.8474576271186418,0.8438868645864517,3.839441535776622,-0.8474446268009501,1173.386962890625,1,-0.967856058658228,-0.7242456653478229,-0.9540402604340272,-0.4005368588131546,-0.1605885923159077,-0.107943042205278,0.3263208931374493,0.2162154999087135,2.545288615796366,2.7958740981047328
2021-09-29,1209.0,1205.0,1111.0,1200.0,1173.386962890625,146774,1402452.2516465194,1212271,0.268035843230583,-13024326.641546186,-1440990.911196806,35232.549235865525,5372.36953425438,1122.3051742457935,42.08415393924668,1012.4447592389788,1138.4,1217.7735472307995,1059.0264527692004,13.94475531110324,0.8880385981798291,0.0,0.0,1132.0666666666668,1180.8666666666668,1083.2666666666669,8.621400388669679,1.1960382513661192,1.0,0.0,1057.0,1205.0,1131.0,13.000702740688686,0.9662162162162162,49.6,0.0,6.542079991312903,-1.751522051283268,8.29360204259617,1138.4,1138.4,1152.0594289940368,1145.517349002724,0.7071288948724256,0.652112001449857,0.0550168934225685,-0.029323742318119,9.854502982626364,-146.39200000000005,147.57139055330194,130.2393099549305,17.332080598371448,1131.0,1131.0,1131.0,1131.0,0.0,0.0,0.0,0.0,88.93838158871526,990.9395,1000.149,40.0,16.0,24.0,1072.363744,1152.072256,0.0,0.0,71.45186410363128,0.0,0.0,0.0,-78.46308832624014,70.07488479262672,96.62162162162164,95.4954954954955,-3.3783783783783785,20.19999999999981,0.0,0.5711026547968369,-0.1556220533130227,0.7267247081098596,2.829927932300344,11.254880672838498,-8.424952740538155,1152.873379053844,0.8403361344537785,0.8368249670517081,4.712041884816753,-0.8403338423754292,1163.6087646484375,2,0.6754631324731122,-0.3994715896280638,1.504057947699394,3.723407054767733,-0.1605885923159077,1.8332034500918863,0.9094290480840924,6.717227848673133,-0.4156505029377797,0.2792675590645359
